,matrix,dimensions,type,iter,times_mean,times_var,rel_error,system,memory
0,G3_circuit.mtx,1585478x1585478,def_pos,30,18.21058,1.963873,314834500000.0,Windows,69736.0
1,apache2.mtx,715176x715176,def_pos,30,16.17134,0.8667893,22955130000.0,Windows,12356.0
2,cfd1.mtx,70656x70656,def_pos,30,2.625041,0.2227819,8325249000000.0,Windows,14756.0
3,cfd2.mtx,123440x123440,def_pos,30,6.410762999999999,0.2573814,1677853000000.0,Windows,9708.0
4,ex15.mtx,6867x6867,def_pos,30,0.03423728,7.200485e-06,882390.1,Windows,0.0
5,parabolic_fem.mtx,525825x525825,def_pos,30,3.182598,0.0036610329999999997,805038200000.0,Windows,9708.0
6,shallow_water1.mtx,81920x81920,def_pos,30,0.3498605,0.0001935402,2986149000000000.0,Windows,7380.0
7,PR02R.mtx,161070x161070,non_def_pos,30,24.22936,0.9990571,3948246.0,Windows,106156.0
8,ex19.mtx,12005x12005,non_def_pos,30,0.1199154,7.859782e-05,29555010.0,Windows,15460.0
9,graham1.mtx,9035x9035,non_def_pos,30,0.3836268,0.0001514581,8041572000.0,Windows,12724.0
10,raefsky3.mtx,21200x21200,non_def_pos,30,0.7775681999999999,0.001111556,21161760000000.0,Windows,102912.0
11,torso1.mtx,116158x116158,non_def_pos,30,26.88846,1.0215049999999999,257692.3,Windows,9144.0
12,water_tank.mtx,60740x60740,non_def_pos,30,43.21797,0.6156463000000001,113033100000.0,Windows,106324.0
