matrix, dimensions, type, n_iter, time_start, time_stop 
G3_circuit.mtx, 1585478x1585478, def_pos, 1, 1527099372.384624, 1527099391.010312 
G3_circuit.mtx, 1585478x1585478, def_pos, 2, 1527099391.210804, 1527099404.900374 
G3_circuit.mtx, 1585478x1585478, def_pos, 3, 1527099404.952635, 1527099418.530144 
G3_circuit.mtx, 1585478x1585478, def_pos, 4, 1527099418.571621, 1527099434.714082 
G3_circuit.mtx, 1585478x1585478, def_pos, 5, 1527099434.765900, 1527099451.471359 
G3_circuit.mtx, 1585478x1585478, def_pos, 6, 1527099451.533125, 1527099468.337561 
G3_circuit.mtx, 1585478x1585478, def_pos, 7, 1527099468.385081, 1527099483.883652 
G3_circuit.mtx, 1585478x1585478, def_pos, 8, 1527099483.930748, 1527099501.645479 
G3_circuit.mtx, 1585478x1585478, def_pos, 9, 1527099501.692235, 1527099518.982047 
G3_circuit.mtx, 1585478x1585478, def_pos, 10, 1527099519.032431, 1527099535.900954 
G3_circuit.mtx, 1585478x1585478, def_pos, 11, 1527099535.958905, 1527099554.016659 
G3_circuit.mtx, 1585478x1585478, def_pos, 12, 1527099554.065976, 1527099571.812335 
G3_circuit.mtx, 1585478x1585478, def_pos, 13, 1527099571.864859, 1527099588.956554 
G3_circuit.mtx, 1585478x1585478, def_pos, 14, 1527099589.014270, 1527099605.501415 
G3_circuit.mtx, 1585478x1585478, def_pos, 15, 1527099605.549174, 1527099624.107128 
G3_circuit.mtx, 1585478x1585478, def_pos, 16, 1527099624.165555, 1527099642.070534 
G3_circuit.mtx, 1585478x1585478, def_pos, 17, 1527099642.119959, 1527099659.806857 
G3_circuit.mtx, 1585478x1585478, def_pos, 18, 1527099659.856664, 1527099677.575497 
G3_circuit.mtx, 1585478x1585478, def_pos, 19, 1527099677.623160, 1527099694.922578 
G3_circuit.mtx, 1585478x1585478, def_pos, 20, 1527099694.974945, 1527099715.600404 
G3_circuit.mtx, 1585478x1585478, def_pos, 21, 1527099715.651474, 1527099732.563449 
G3_circuit.mtx, 1585478x1585478, def_pos, 22, 1527099732.621627, 1527099750.483257 
G3_circuit.mtx, 1585478x1585478, def_pos, 23, 1527099750.534282, 1527099768.329147 
G3_circuit.mtx, 1585478x1585478, def_pos, 24, 1527099768.380905, 1527099789.003212 
G3_circuit.mtx, 1585478x1585478, def_pos, 25, 1527099789.053190, 1527099806.282214 
G3_circuit.mtx, 1585478x1585478, def_pos, 26, 1527099806.332077, 1527099824.018383 
G3_circuit.mtx, 1585478x1585478, def_pos, 27, 1527099824.068285, 1527099841.779117 
G3_circuit.mtx, 1585478x1585478, def_pos, 28, 1527099841.824691, 1527099859.134374 
G3_circuit.mtx, 1585478x1585478, def_pos, 29, 1527099859.185243, 1527099876.977302 
G3_circuit.mtx, 1585478x1585478, def_pos, 30, 1527099877.032026, 1527099897.745795 
apache2.mtx, 715176x715176, def_pos, 1, 1527099902.858334, 1527099916.835315 
apache2.mtx, 715176x715176, def_pos, 2, 1527099916.875210, 1527099930.274019 
apache2.mtx, 715176x715176, def_pos, 3, 1527099930.311996, 1527099945.638612 
apache2.mtx, 715176x715176, def_pos, 4, 1527099945.688126, 1527099961.937468 
apache2.mtx, 715176x715176, def_pos, 5, 1527099961.976528, 1527099975.351297 
apache2.mtx, 715176x715176, def_pos, 6, 1527099975.390402, 1527099991.007722 
apache2.mtx, 715176x715176, def_pos, 7, 1527099991.047558, 1527100007.210209 
apache2.mtx, 715176x715176, def_pos, 8, 1527100007.250322, 1527100023.397708 
apache2.mtx, 715176x715176, def_pos, 9, 1527100023.439180, 1527100039.594738 
apache2.mtx, 715176x715176, def_pos, 10, 1527100039.635439, 1527100055.784466 
apache2.mtx, 715176x715176, def_pos, 11, 1527100055.824485, 1527100072.011704 
apache2.mtx, 715176x715176, def_pos, 12, 1527100072.055022, 1527100086.312420 
apache2.mtx, 715176x715176, def_pos, 13, 1527100086.346240, 1527100099.907514 
apache2.mtx, 715176x715176, def_pos, 14, 1527100099.944648, 1527100115.835322 
apache2.mtx, 715176x715176, def_pos, 15, 1527100115.875518, 1527100130.209517 
apache2.mtx, 715176x715176, def_pos, 16, 1527100130.245450, 1527100146.662631 
apache2.mtx, 715176x715176, def_pos, 17, 1527100146.698653, 1527100162.086815 
apache2.mtx, 715176x715176, def_pos, 18, 1527100162.126433, 1527100178.314226 
apache2.mtx, 715176x715176, def_pos, 19, 1527100178.353970, 1527100194.784482 
apache2.mtx, 715176x715176, def_pos, 20, 1527100194.821062, 1527100210.381192 
apache2.mtx, 715176x715176, def_pos, 21, 1527100210.424224, 1527100226.487666 
apache2.mtx, 715176x715176, def_pos, 22, 1527100226.523904, 1527100240.149439 
apache2.mtx, 715176x715176, def_pos, 23, 1527100240.186067, 1527100256.072319 
apache2.mtx, 715176x715176, def_pos, 24, 1527100256.115043, 1527100270.549066 
apache2.mtx, 715176x715176, def_pos, 25, 1527100270.583213, 1527100287.074206 
apache2.mtx, 715176x715176, def_pos, 26, 1527100287.111990, 1527100302.763585 
apache2.mtx, 715176x715176, def_pos, 27, 1527100302.806100, 1527100319.169960 
apache2.mtx, 715176x715176, def_pos, 28, 1527100319.209537, 1527100335.489481 
apache2.mtx, 715176x715176, def_pos, 29, 1527100335.533080, 1527100351.777825 
apache2.mtx, 715176x715176, def_pos, 30, 1527100351.819855, 1527100368.039248 
cfd1.mtx, 70656x70656, def_pos, 1, 1527100370.600520, 1527100373.009976 
cfd1.mtx, 70656x70656, def_pos, 2, 1527100373.035522, 1527100375.239967 
cfd1.mtx, 70656x70656, def_pos, 3, 1527100375.264842, 1527100377.307573 
cfd1.mtx, 70656x70656, def_pos, 4, 1527100377.331740, 1527100379.558958 
cfd1.mtx, 70656x70656, def_pos, 5, 1527100379.587423, 1527100381.941621 
cfd1.mtx, 70656x70656, def_pos, 6, 1527100381.967332, 1527100384.023542 
cfd1.mtx, 70656x70656, def_pos, 7, 1527100384.047117, 1527100386.098742 
cfd1.mtx, 70656x70656, def_pos, 8, 1527100386.123493, 1527100387.965373 
cfd1.mtx, 70656x70656, def_pos, 9, 1527100387.987594, 1527100389.849012 
cfd1.mtx, 70656x70656, def_pos, 10, 1527100389.873969, 1527100391.873879 
cfd1.mtx, 70656x70656, def_pos, 11, 1527100391.899508, 1527100393.924096 
cfd1.mtx, 70656x70656, def_pos, 12, 1527100393.951274, 1527100396.741414 
cfd1.mtx, 70656x70656, def_pos, 13, 1527100396.774359, 1527100399.410829 
cfd1.mtx, 70656x70656, def_pos, 14, 1527100399.437006, 1527100401.823081 
cfd1.mtx, 70656x70656, def_pos, 15, 1527100401.850533, 1527100403.942871 
cfd1.mtx, 70656x70656, def_pos, 16, 1527100403.968226, 1527100405.989317 
cfd1.mtx, 70656x70656, def_pos, 17, 1527100406.014296, 1527100408.348886 
cfd1.mtx, 70656x70656, def_pos, 18, 1527100408.376394, 1527100411.077596 
cfd1.mtx, 70656x70656, def_pos, 19, 1527100411.112249, 1527100414.714344 
