matrix,dimensions,type,start_time,end_time,rel_error,system,library,umfpack_error
G3_circuit.mtx,1585478x1585478,def_pos,1527104253.2427402,1527104301.1171055,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527104331.8867896,1527104377.0169966,1.2445964753702244e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527104387.1090133,1527104392.8173892,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527104409.8794258,1527104420.0832613,2.988965331281976e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527104420.7066665,1527104420.8474627,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527104447.9317086,1527104460.0118325,4.459792298554373e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527104462.6336944,1527104464.3002539,1.9874056932051922e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527104512.5698822,1527104555.7848523,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527104586.7874897,1527104630.1044075,1.2445964740477229e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527104639.9828844,1527104645.714594,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527104662.5627377,1527104672.8510187,2.9934981993194333e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527104673.4329436,1527104673.6191206,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527104701.0956328,1527104713.1676154,4.459792388710768e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527104715.7693338,1527104717.4408686,1.9876593001165152e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527104766.0528023,1527104809.406948,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527104840.0267353,1527104883.290397,1.2445964740477229e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527104893.2404277,1527104898.9623349,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527104915.7662733,1527104926.041102,2.9934981993194333e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527104926.6194963,1527104926.8068802,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527104953.7391322,1527104965.7942708,4.459792388710768e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527104968.4555736,1527104970.1031134,1.9874056932051922e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527105018.3916929,1527105061.6929073,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527105092.7423322,1527105136.0821347,1.2445964753702244e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527105146.0609293,1527105151.804842,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527105168.709907,1527105179.0228627,2.9934981993194333e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527105179.6255193,1527105179.7985868,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527105207.249201,1527105219.3207622,4.459792298554373e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527105221.9383554,1527105223.5946736,1.9874814001489977e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527105272.3156774,1527105315.5569885,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527105346.2901316,1527105389.555683,1.2445964753702244e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527105399.5779276,1527105405.3118143,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527105422.0668244,1527105432.2844496,2.988965331281976e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527105432.8975232,1527105433.024856,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527105460.0296786,1527105472.1014223,4.459792388710768e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527105474.7675657,1527105476.4285474,1.9874056932051922e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527105524.764675,1527105568.0728817,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527105599.0508077,1527105642.3451612,1.2445964753702244e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527105652.3516238,1527105658.0286984,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527105674.855704,1527105684.9972014,2.988965331281976e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527105685.5849729,1527105685.7247727,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527105712.8560772,1527105724.8727608,4.459792298554373e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527105727.4795768,1527105729.1460073,1.9872126274438255e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527105778.01131,1527105821.2645411,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527105852.1964748,1527105895.3945453,1.2445964753702244e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527105905.372119,1527105911.1702275,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527105928.0592897,1527105938.3567662,2.9934981993194333e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527105938.9493756,1527105939.1329827,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527105966.1577053,1527105978.2075894,4.459792388710768e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527105980.8615344,1527105982.5238364,1.9874473323811643e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527106031.0809534,1527106074.45937,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527106105.3756464,1527106148.6095002,1.2445964740477229e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527106158.5627797,1527106164.3117452,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527106181.1340265,1527106191.4236324,2.988965331281976e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527106192.0227368,1527106192.2103043,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527106219.6668727,1527106231.698654,4.459792388710768e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527106234.323091,1527106235.9897265,1.987462473683407e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527106284.6636803,1527106327.866727,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527106358.4246273,1527106401.8144886,1.2445964753702244e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527106411.8666644,1527106417.619834,7.351571593147851e-14,windows,mkl,0
