timestamp,memory_physical(kB),memory_virtual(kB)
1527068465.4848733,703312.0,791200.0
1527068465.5472732,703312.0,791200.0
1527068465.6096735,703312.0,791200.0
1527068465.6720734,703312.0,791200.0
1527068465.7344737,703312.0,791200.0
1527068465.7968738,703312.0,791200.0
1527068465.8592737,703312.0,791200.0
1527068465.921674,703312.0,791200.0
1527068465.9840739,703312.0,791200.0
1527068466.0464742,703312.0,791200.0
1527068466.1088743,703312.0,791200.0
1527068466.1712744,703312.0,791200.0
1527068466.2336745,703312.0,791200.0
1527068466.2960744,703312.0,791200.0
1527068466.3584747,703312.0,791936.0
1527068466.4208748,703312.0,791936.0
1527068466.483275,703312.0,791936.0
1527068466.545675,703312.0,791936.0
1527068466.6080754,703312.0,791936.0
1527068466.6704752,703312.0,791936.0
1527068466.7328756,703312.0,791936.0
1527068466.7952754,703312.0,791936.0
1527068466.8576756,703312.0,791936.0
1527068466.920076,703312.0,791936.0
1527068466.9824758,703312.0,791936.0
1527068467.0448759,703312.0,791936.0
1527068467.107276,703312.0,791936.0
1527068467.169676,703312.0,791936.0
1527068467.2320764,703312.0,791936.0
1527068467.2944763,703312.0,791936.0
1527068467.3568766,703312.0,791936.0
1527068467.4192765,703312.0,791936.0
1527068467.4816768,703312.0,791936.0
1527068467.5440767,703312.0,791936.0
1527068467.6064768,703312.0,791936.0
1527068467.6688771,703360.0,791936.0
1527068467.731277,703512.0,791996.0
1527068467.7936773,703512.0,791996.0
1527068467.8560772,703512.0,791996.0
1527068467.9184775,703512.0,791996.0
1527068467.9808776,703512.0,791996.0
1527068468.0432777,703512.0,791996.0
1527068468.1056778,703512.0,791996.0
1527068468.1680777,703512.0,791996.0
1527068468.230478,703512.0,791996.0
1527068468.2928782,703512.0,791996.0
1527068468.355278,703512.0,791996.0
1527068468.4176784,703552.0,792180.0
1527068468.4800782,703556.0,792180.0
1527068468.5424786,703516.0,791996.0
1527068468.6048787,703516.0,791996.0
1527068468.6672788,703516.0,791996.0
1527068468.7296789,703516.0,791996.0
1527068468.7920792,703516.0,791996.0
1527068468.854479,703516.0,791996.0
1527068468.9168792,703516.0,791996.0
1527068468.9792793,703516.0,791996.0
1527068469.0416794,703516.0,791996.0
1527068469.1040797,703516.0,791996.0
1527068469.1664796,703516.0,791996.0
1527068469.22888,703516.0,791996.0
1527068469.2912798,703516.0,791996.0
1527068469.35368,703516.0,791996.0
1527068469.4160802,703512.0,791996.0
1527068469.47848,703516.0,791996.0
1527068469.5408804,703516.0,791996.0
1527068469.6032803,703516.0,791996.0
1527068469.6656804,703516.0,791996.0
1527068469.7280807,703516.0,791996.0
1527068469.7904806,703516.0,791996.0
1527068469.852881,703516.0,791996.0
1527068469.9152808,703604.0,792024.0
1527068469.9776812,703616.0,792024.0
1527068470.0400813,704496.0,793048.0
1527068470.1024814,705076.0,794096.0
1527068470.1648815,705292.0,794096.0
1527068470.2272813,703992.0,792292.0
1527068470.2896817,703956.0,792172.0
1527068470.3520818,703956.0,792172.0
1527068470.4144819,704016.0,792172.0
1527068470.476882,704016.0,792172.0
1527068470.539282,704932.0,793064.0
1527068470.6016822,706684.0,794088.0
1527068470.6640823,709288.0,796972.0
1527068470.7264824,711784.0,798820.0
1527068470.7888825,712196.0,799204.0
1527068470.8512826,713120.0,800140.0
1527068470.9136827,713948.0,800972.0
1527068470.9760828,714032.0,801060.0
1527068471.038483,714144.0,801188.0
1527068471.100883,714160.0,801188.0
1527068471.163283,714236.0,801284.0
1527068471.2256832,714244.0,801284.0
1527068471.2880836,714256.0,801284.0
1527068471.3504834,714360.0,801428.0
1527068471.4128838,714412.0,801608.0
1527068471.4752836,714424.0,801608.0
1527068471.5376837,714396.0,801428.0
1527068471.600084,714692.0,801860.0
1527068471.662484,714716.0,801860.0
1527068471.7248843,714736.0,801860.0
