matrix, dimensions, type, n_iter, time_start, time_stop 
G3_circuit.mtx, 1585478x1585478, def_pos, 1, 1527068481.864902, 1527068500.959335 
G3_circuit.mtx, 1585478x1585478, def_pos, 2, 1527068501.146536, 1527068516.684163 
G3_circuit.mtx, 1585478x1585478, def_pos, 3, 1527068516.746563, 1527068532.299791 
G3_circuit.mtx, 1585478x1585478, def_pos, 4, 1527068532.346591, 1527068548.289819 
G3_circuit.mtx, 1585478x1585478, def_pos, 5, 1527068548.352219, 1527068565.340649 
G3_circuit.mtx, 1585478x1585478, def_pos, 6, 1527068565.403049, 1527068584.887483 
G3_circuit.mtx, 1585478x1585478, def_pos, 7, 1527068584.934283, 1527068601.735513 
G3_circuit.mtx, 1585478x1585478, def_pos, 8, 1527068601.797913, 1527068619.207543 
G3_circuit.mtx, 1585478x1585478, def_pos, 9, 1527068619.269943, 1527068636.975974 
G3_circuit.mtx, 1585478x1585478, def_pos, 10, 1527068637.038374, 1527068654.962806 
G3_circuit.mtx, 1585478x1585478, def_pos, 11, 1527068655.025206, 1527068672.902838 
G3_circuit.mtx, 1585478x1585478, def_pos, 12, 1527068672.965238, 1527068690.281268 
G3_circuit.mtx, 1585478x1585478, def_pos, 13, 1527068690.328068, 1527068707.893699 
G3_circuit.mtx, 1585478x1585478, def_pos, 14, 1527068707.956099, 1527068726.145731 
G3_circuit.mtx, 1585478x1585478, def_pos, 15, 1527068726.223731, 1527068744.756564 
G3_circuit.mtx, 1585478x1585478, def_pos, 16, 1527068744.818964, 1527068763.414197 
G3_circuit.mtx, 1585478x1585478, def_pos, 17, 1527068763.492197, 1527068782.352630 
G3_circuit.mtx, 1585478x1585478, def_pos, 18, 1527068782.430630, 1527068803.116266 
G3_circuit.mtx, 1585478x1585478, def_pos, 19, 1527068803.194266, 1527068822.163900 
G3_circuit.mtx, 1585478x1585478, def_pos, 20, 1527068822.210700, 1527068841.008733 
G3_circuit.mtx, 1585478x1585478, def_pos, 21, 1527068841.086733, 1527068859.650766 
G3_circuit.mtx, 1585478x1585478, def_pos, 22, 1527068859.728766, 1527068878.526799 
G3_circuit.mtx, 1585478x1585478, def_pos, 23, 1527068878.589199, 1527068897.137631 
G3_circuit.mtx, 1585478x1585478, def_pos, 24, 1527068897.215632, 1527068915.826464 
G3_circuit.mtx, 1585478x1585478, def_pos, 25, 1527068915.904465, 1527068936.512101 
G3_circuit.mtx, 1585478x1585478, def_pos, 26, 1527068936.590101, 1527068955.060533 
G3_circuit.mtx, 1585478x1585478, def_pos, 27, 1527068955.122933, 1527068975.761770 
G3_circuit.mtx, 1585478x1585478, def_pos, 28, 1527068975.824169, 1527068994.528602 
G3_circuit.mtx, 1585478x1585478, def_pos, 29, 1527068994.606602, 1527069014.964638 
G3_circuit.mtx, 1585478x1585478, def_pos, 30, 1527069015.042638, 1527069033.450671 
apache2.mtx, 715176x715176, def_pos, 1, 1527069043.684289, 1527069058.488715 
apache2.mtx, 715176x715176, def_pos, 2, 1527069058.551115, 1527069074.041942 
apache2.mtx, 715176x715176, def_pos, 3, 1527069074.088742, 1527069091.482773 
apache2.mtx, 715176x715176, def_pos, 4, 1527069091.529573, 1527069107.036000 
apache2.mtx, 715176x715176, def_pos, 5, 1527069107.082800, 1527069123.915230 
apache2.mtx, 715176x715176, def_pos, 6, 1527069123.977630, 1527069139.515257 
apache2.mtx, 715176x715176, def_pos, 7, 1527069139.562057, 1527069156.737687 
apache2.mtx, 715176x715176, def_pos, 8, 1527069156.800087, 1527069171.666914 
apache2.mtx, 715176x715176, def_pos, 9, 1527069171.713714, 1527069188.982944 
apache2.mtx, 715176x715176, def_pos, 10, 1527069189.045344, 1527069203.958970 
apache2.mtx, 715176x715176, def_pos, 11, 1527069204.021370, 1527069221.290601 
apache2.mtx, 715176x715176, def_pos, 12, 1527069221.337401, 1527069236.375827 
