matrix,dimensions,type,start_time,end_time,rel_error,system,library,umfpack_error
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527082788.1572602,1527082804.381289,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527082813.3825047,1527082831.2289362,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527082834.2397413,1527082836.3769453,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527082841.415754,1527082845.3313608,2.4163540916352726e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527082845.5497613,1527082845.6589613,7.130587072135745e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527082853.5213752,1527082857.6241822,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527082858.4197836,1527082859.012585,1.984541852834143e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527082873.0370095,1527082887.9974358,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527082897.0766518,1527082915.313084,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527082918.76069,1527082920.9446936,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527082926.0303028,1527082929.9927094,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527082930.2423098,1527082930.3827102,7.13062827794997e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527082938.9159253,1527082943.0343325,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527082943.8611338,1527082944.453935,1.984541852834143e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527082958.71236,1527082973.9847867,1.7128021741099656e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527082984.9984062,1527083005.2004416,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527083009.303249,1527083011.4872527,8.867576307787091e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527083016.5104613,1527083020.3324683,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527083020.5664687,1527083020.691269,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527083029.6144845,1527083033.7328918,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527083034.5284932,1527083035.121294,1.9843485084375063e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527083049.0989187,1527083066.305749,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527083075.3225648,1527083094.8381991,1.2946629786532977e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527083098.738206,1527083101.0158098,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527083106.0702188,1527083109.9234254,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527083110.1106257,1527083110.235426,7.130587072135745e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527083120.2662437,1527083124.369051,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527083125.1646523,1527083125.7730534,1.9843636733847246e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527083144.961087,1527083162.511118,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527083171.4655337,1527083191.074768,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527083195.1307752,1527083197.408379,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527083202.4783883,1527083206.347195,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527083206.6123955,1527083206.7215958,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527083217.4076145,1527083222.7116237,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527083223.8192255,1527083224.599227,1.984420540904643e-16,windows,mkl,0
